Country,Average Precipitation
Afghanistan,15.957446808510639
Albania,15.957446808510639
Algeria,15.956363257654655
Andorra,15.647790055248619
Angola,15.895316804407713
Antigua and Barbuda,16.328025477707005
Argentina,15.938536306460835
Armenia,15.998380129589632
Australia,15.957446808510639
Austria,15.957446808510639
Azerbaijan,15.957446808510639
Bahamas,15.995353159851302
Bahrain,15.957446808510639
Bangladesh,16.0079950799508
Barbados,15.647790055248619
Belarus,15.98978494623656
Belgium,15.957446808510639
Belize,15.957446808510639
Benin,15.957446808510639
Bhutan,15.939931325248837
Bolivia,15.57892882311487
Bosnia and Herzegovina,15.935004642525534
Botswana,15.834106728538282
Brazil,15.975016700066801
Brunei,15.957446808510639
Bulgaria,15.957446808510639
Burkina Faso,15.778455284552846
Burma,15.961206896551724
Burundi,15.959147424511546
Cabo Verde,15.928366762177651
Cambodia,15.957446808510639
Cameroon,15.95460614152203
Canada,15.951298382760962
Central African Republic,16.03784860557769
Chad,15.79288888888889
Chile,15.969984202211691
China,15.95899766361139
Colombia,15.935038976614031
Comoros,15.957446808510639
Congo (Brazzaville),15.840848806366047
Congo (Kinshasa),15.873762376237623
Costa Rica,15.957446808510639
Cote d'Ivoire,15.958570885594831
Croatia,15.957446808510639
Cuba,15.957446808510639
Cyprus,15.957446808510639
Czechia,15.957446808510639
Denmark,15.957446808510639
Djibouti,16.328025477707005
Dominica,15.616549486208761
Dominican Republic,15.959147424511546
Ecuador,16.226470588235294
Egypt,15.948764867337603
El Salvador,15.80225988700565
Equatorial Guinea,15.918367346938776
Eritrea,16.328025477707005
Estonia,15.960713726717795
Eswatini,15.93993724787091
Ethiopia,16.328025477707005
Fiji,15.97907949790795
Finland,15.95539067300908
France,15.964761643082841
Gabon,15.772806507844276
Gambia,15.957446808510639
Georgia,15.943962641761175
Germany,15.959646303797712
Ghana,15.638369483919222
Greece,15.967820279295688
Greenland,15.806706652126499
Grenada,15.616549486208761
Guatemala,15.908175988599929
Guinea,16.20952380952381
Guinea-Bissau,16.132231404958677
Guyana,16.03514376996805
Haiti,15.959147424511546
Holy See,15.957446808510639
Honduras,15.849083215796897
Hungary,15.957446808510639
Iceland,15.831595829991981
India,15.939931325248837
Indonesia,15.957036596251116
Iran,15.957446808510639
Iraq,15.36
Ireland,15.957446808510639
Israel,15.962686567164178
Italy,15.970070422535212
Jamaica,15.957446808510639
Japan,15.807419828128275
Jordan,15.645907473309608
Kazakhstan,15.958993902439024
Kenya,16.011370436864155
Kosovo,16.394785847299815
Kuwait,16.013864818024263
Kyrgyzstan,15.957446808510639
Laos,15.647790055248619
Latvia,16.488007831620166
Lebanon,16.136363636363637
Lesotho,15.954441391941392
Liberia,16.12568306010929
Libya,15.773584905660377
Liechtenstein,15.957446808510639
Lithuania,15.958038869257951
Luxembourg,15.957446808510639
Madagascar,15.90749354005168
Malawi,15.22972972972973
Malaysia,15.957446808510639
Maldives,15.939931325248837
Mali,15.960704052394597
Malta,15.957446808510639
Mauritania,15.935064935064934
Mauritius,15.957446808510639
Mexico,15.908175988599929
Moldova,15.957446808510639
Monaco,15.964761643082841
Mongolia,15.957446808510639
Montenegro,16.394785847299815
Morocco,15.962628336755646
Mozambique,15.93993724787091
Namibia,16.207267833109018
Nepal,15.97635135135135
Netherlands,15.957185400003118
New Zealand,15.953166577967004
Nicaragua,16.09811320754717
Niger,15.98750844024308
Nigeria,15.864615384615385
North Macedonia,16.079812206572768
Norway,15.949922973420955
Oman,15.675411836485662
Pakistan,15.93019726858877
Panama,15.935038976614031
Papua New Guinea,16.044817927170868
Paraguay,16.039650537634408
Peru,15.942307692307692
Philippines,15.957446808510639
Poland,15.957446808510639
Portugal,15.98963963963964
Qatar,15.957446808510639
Romania,15.957446808510639
Russia,16.010512240727053
Rwanda,15.957446808510639
Saint Kitts and Nevis,15.616549486208761
Saint Lucia,15.616549486208761
Saint Vincent and the Grenadines,15.616549486208761
San Marino,15.970070422535212
Sao Tome and Principe,15.95460614152203
Saudi Arabia,15.9506786465303
Senegal,15.957446808510639
Serbia,15.957446808510639
Seychelles,15.90749354005168
Sierra Leone,15.396039603960396
Singapore,15.957446808510639
Slovakia,15.957446808510639
Slovenia,15.957446808510639
Somalia,16.328025477707005
South Africa,15.954441391941392
South Korea,15.957446808510639
South Sudan,15.964539007092199
Spain,15.956965560037233
Sri Lanka,15.957446808510639
Sudan,15.964539007092199
Suriname,16.02139037433155
Sweden,15.964241831765307
Switzerland,15.957446808510639
Syria,16.18208092485549
Taiwan,15.95899766361139
Tajikistan,15.965787821720026
Tanzania,15.957446808510639
Thailand,15.941492079713848
Timor-Leste,15.957036596251116
Togo,16.0486798679868
Trinidad and Tobago,15.957446808510639
Tunisia,15.957446808510639
Turkey,15.958670076726342
US,15.95125364431487
Uganda,16.011370436864155
Ukraine,15.957446808510639
United Arab Emirates,15.798694232861806
United Kingdom,15.967188349749229
Uruguay,15.89033189033189
Uzbekistan,15.971708090957165
Venezuela,15.616549486208761
Vietnam,15.957446808510639
West Bank and Gaza,15.962686567164178
Western Sahara,15.935064935064934
Yemen,15.9506786465303
Zambia,13.153846153846153
Zimbabwe,15.759036144578314
