Country,Average Temperature
Afghanistan,16.891991725768307
Albania,16.03427895981088
Algeria,21.32524474067905
Andorra,29.072283609576477
Angola,24.27609427609429
Antigua and Barbuda,21.01822363765037
Argentina,16.11250079410448
Armenia,8.688804895608332
Australia,16.38704592186429
Austria,8.996585237719984
Azerbaijan,15.764099966227647
Bahamas,25.848108747044897
Bahrain,27.72163120567373
Bangladesh,27.216072160721662
Barbados,29.072283609576417
Belarus,8.13396057347667
Belgium,12.157210401891255
Belize,28.290957446808523
Benin,28.332840819542977
Bhutan,26.932424914156645
Bolivia,23.996264975334693
Bosnia and Herzegovina,12.391179201485597
Botswana,21.256960556844565
Brazil,24.71261189044752
Brunei,28.329787234042538
Bulgaria,13.047340425531896
Burkina Faso,30.491802168021657
Burma,28.58448275862065
Burundi,27.63179396092362
Cabo Verde,24.512893982808013
Cambodia,30.103191489361695
Cameroon,29.10066755674231
Canada,3.76073542007415
Central African Republic,25.306374501992025
Chad,32.48995555555555
Chile,13.89086887835699
China,13.291678862101541
Colombia,26.176294223465877
Comoros,24.03693009118543
Congo (Brazzaville),26.610079575596764
Congo (Kinshasa),25.81683168316832
Costa Rica,26.677925531914898
Cote d'Ivoire,27.37837324211328
Croatia,15.42380106571935
Cuba,27.121808510638292
Cyprus,20.00319148936169
Czechia,9.235735009671172
Denmark,9.625797872340419
Djibouti,21.0182236376504
Dominica,26.944077879935044
Dominican Republic,27.63179396092362
Ecuador,22.572058823529403
Egypt,23.18993595608416
El Salvador,29.012711864406796
Equatorial Guinea,27.340233236151605
Eritrea,21.018223637650394
Estonia,8.201215805471143
Eswatini,24.16839982070819
Ethiopia,21.018223637650372
Fiji,26.390167364016744
Finland,5.092767047694125
France,14.153780284043494
Gabon,27.263916327716412
Gambia,27.139893617021272
Georgia,13.947898599066058
Germany,11.654232622161054
Ghana,28.74921465968586
Greece,17.77516697024893
Greenland,-8.378547410894404
Grenada,26.94407787993508
Guatemala,24.027084075525433
Guinea,28.256666666666675
Guinea-Bissau,29.512396694214875
Guyana,27.20319488817892
Haiti,27.631793960923627
Holy See,11.515630114566298
Honduras,27.9136812411848
Hungary,12.5474290780142
Iceland,4.996631916599839
India,26.93242491415637
Indonesia,27.428116631954673
Iran,19.377127659574402
Iraq,26.313
Ireland,9.94674940898345
Israel,20.409808102345433
Italy,13.924114906832271
Jamaica,28.01276595744682
Japan,14.455334311465126
Jordan,19.533629893238427
Kazakhstan,11.07822662601624
Kenya,24.03590664272891
Kosovo,15.052564102564093
Kuwait,27.62651646447139
Kyrgyzstan,10.751291793313063
Laos,29.071132596685114
Latvia,5.961429270680373
Lebanon,18.11229946524063
Lesotho,16.337419871794864
Liberia,27.438251366120227
Libya,19.985004965243288
Liechtenstein,8.996585237719984
Lithuania,9.645229681978797
Luxembourg,11.619680851063835
Madagascar,24.401395348837237
Malawi,25.029729729729738
Malaysia,27.994718844984817
Maldives,26.932424914156524
Mali,31.378960294719644
Malta,18.580851063829773
Mauritania,24.242857142857144
Mauritius,24.173758865248235
Mexico,24.027084075525387
Moldova,11.993550531914902
Monaco,14.153780284043407
Mongolia,4.455915931499746
Montenegro,15.052564102564112
Morocco,19.20094455852155
Mozambique,24.16839982070818
Namibia,20.514266487213995
Nepal,18.50236486486486
Netherlands,11.51521276595743
New Zealand,14.061681745609377
Nicaragua,28.87056603773586
Niger,31.142268737339712
Nigeria,27.900512820512766
North Macedonia,12.903755868544593
Norway,4.667730900798166
Oman,29.018852959121393
Pakistan,24.60424886191208
Panama,26.17629422346586
Papua New Guinea,27.776470588235295
Paraguay,22.50285618279569
Peru,22.40945732349844
Philippines,27.01726677577741
Poland,10.070000000000018
Portugal,17.115765765765794
Qatar,28.61117021276597
Romania,11.515630114566275
Russia,3.489705178936396
Rwanda,21.067021276595746
Saint Kitts and Nevis,26.94407787993503
Saint Lucia,26.94407787993503
Saint Vincent and the Grenadines,26.94407787993507
San Marino,13.924114906832285
Sao Tome and Principe,29.100667556742327
Saudi Arabia,26.3104760084114
Senegal,29.880939716312042
Serbia,13.646631205673756
Seychelles,24.401395348837227
Sierra Leone,28.06237623762377
Singapore,28.444148936170205
Slovakia,10.677234042553174
Slovenia,6.354278074866309
Somalia,21.018223637650358
South Africa,16.337419871794783
South Korea,13.978723404255359
South Sudan,29.054609929078026
Spain,16.578262088297055
Sri Lanka,26.382446808510647
Sudan,29.054609929078033
Suriname,26.41122994652409
Sweden,6.867337278106503
Switzerland,10.607584830339341
Syria,19.52572254335261
Taiwan,13.291678862101671
Tajikistan,11.044821092278724
Tanzania,24.036930091185432
Thailand,29.36315789473671
Timor-Leste,27.42811663195468
Togo,28.419224422442223
Trinidad and Tobago,27.13031914893618
Tunisia,20.449468085106336
Turkey,15.155979539642004
US,12.641375127681307
Uganda,24.035906642728932
Ukraine,11.467748226950416
United Arab Emirates,29.008052230685525
United Kingdom,9.834751773049662
Uruguay,18.603799903799942
Uzbekistan,17.68662083553674
Venezuela,26.944077879935072
Vietnam,26.352943262411376
West Bank and Gaza,20.409808102345448
Western Sahara,24.24285714285716
Yemen,26.310476008411396
Zambia,26.16923076923077
Zimbabwe,18.81084337349398
